ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
73	1550	0	2	0.000000	5.970323	5.205806	0.000000	0.000000	0	78	0
74	12	1	1	0.000000	72.833333	34.833333	0.000000	0.000000	0	46	0
75	12	1	2	0.000000	73.166667	19.000000	0.000000	0.000000	0	45	0
76	7	1	2	0.000000	74.714286	59.000000	0.000000	0.000000	0	39	0
77	3	2	1	0.000000	73.000000	60.000000	0.000000	0.000000	0	32	0
78	7	2	1	0.000000	72.285714	62.142857	0.000000	0.000000	0	34	0
79	608	1	2	0.000000	36.705592	28.629934	0.000000	0.000000	0	206	0
80	226	2	0	0.000000	4.969027	4.831858	0.000000	0.000000	0	12	0
81	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
82	9	1	2	0.000000	5.888889	5.888889	0.000000	0.000000	0	3	0
83	31	1	1	0.000000	5.290323	3.483871	0.000000	0.000000	0	4	0
84	160	2	2	0.000000	4.418750	4.012500	0.000000	0.000000	0	10	0
85	31	1	1	0.000000	5.451613	5.451613	0.000000	0.000000	0	4	0
86	1	2	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	3	0
87	31	1	1	0.000000	5.064516	5.064516	0.000000	0.000000	0	4	0
88	1922	1	0	0.000000	5.823621	5.165973	0.000000	0.000000	0	95	0
89	11	1	2	0.000000	11.363636	11.363636	0.000000	0.000000	0	7	0
90	15	1	2	0.000000	10.866667	9.266667	0.000000	0.000000	0	7	0
91	1653	2	2	0.000000	6.174229	5.244404	0.000000	0.000000	0	96	0
92	359	2	1	0.000000	6.328691	5.445682	0.000000	0.000000	0	21	0
93	592	0	2	0.000000	4.989865	4.339527	0.000000	0.000000	0	26	0
94	11	2	1	0.000000	8.363636	8.363636	0.000000	0.000000	0	5	0
95	2	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	2	0
96	18	1	2	0.000000	4.166667	4.166667	0.000000	0.000000	0	3	0
97	11	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	1	0
98	5	2	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	7	0
99	2743	0	2	0.000000	6.882610	5.793292	0.000000	0.000000	0	160	0
100	989	1	2	0.000000	7.415571	6.525784	0.000000	0.000000	0	71	0
101	19	2	2	0.000000	76.736842	64.473684	0.000000	0.000000	0	52	0
102	4	2	1	0.000000	78.000000	65.250000	0.000000	0.000000	0	44	0
103	1	2	1	0.000000	79.000000	67.000000	0.000000	0.000000	0	43	0
104	1	2	1	0.000000	78.000000	66.000000	0.000000	0.000000	0	42	0
105	31	1	1	0.000000	1.741935	1.741935	0.000000	0.000000	0	2	0
106	7	1	2	0.000000	68.571429	67.428571	0.000000	0.000000	0	44	0
107	62	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
108	18	1	2	0.000000	6.777778	6.777778	0.000000	0.000000	0	6	0
109	97	2	0	0.000000	6.948454	6.051546	0.000000	0.000000	0	10	0
110	31	1	1	0.000000	8.741935	8.516129	0.000000	0.000000	0	6	0
111	273	2	0	0.000000	4.721612	4.432234	0.000000	0.000000	0	18	0
112	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
113	52	1	1	0.000000	3.615385	3.019231	0.000000	0.000000	0	2	0
114	4	2	1	0.000000	13.000000	8.750000	0.000000	0.000000	0	8	0
115	9	2	1	0.000000	14.666667	13.666667	0.000000	0.000000	0	12	0
116	8	2	1	0.000000	16.250000	16.250000	0.000000	0.000000	0	12	0
117	5	2	1	0.000000	15.400000	15.400000	0.000000	0.000000	0	11	0
118	109	2	2	0.000000	12.183486	8.825688	0.000000	0.000000	0	22	0
119	2625	2	0	0.000000	6.134476	5.252952	0.000000	0.000000	0	138	0
120	2327	2	1	0.000000	6.901160	6.090245	0.000000	0.000000	0	150	0
121	31	1	1	0.000000	7.967742	7.322581	0.000000	0.000000	0	6	0
122	128	2	2	0.000000	6.320312	5.750000	0.000000	0.000000	0	9	0
123	35	2	1	0.000000	7.971429	7.971429	0.000000	0.000000	0	4	0
124	27	1	1	0.000000	3.407407	3.407407	0.000000	0.000000	0	3	0
125	6	1	2	0.000000	6.500000	5.500000	0.000000	0.000000	0	3	0
126	433	0	2	0.000000	4.836028	4.122402	0.000000	0.000000	0	21	0
127	20	1	1	0.000000	2.500000	2.500000	0.000000	0.000000	0	3	0
128	2	2	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	4	0
129	9	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
130	47	1	2	0.000000	2.489362	2.489362	0.000000	0.000000	0	5	0
131	135	2	0	0.000000	3.851852	3.044444	0.000000	0.000000	0	6	0
132	3	2	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	2	0
133	21	2	1	0.000000	7.571429	7.571429	0.000000	0.000000	0	5	0
134	7	1	1	0.000000	7.285714	7.285714	0.000000	0.000000	0	4	0
135	3	1	2	0.000000	7.000000	7.000000	0.000000	0.000000	0	4	0
136	21	1	2	0.000000	5.476190	5.476190	0.000000	0.000000	0	5	0
137	1335	2	0	0.000000	5.651685	4.639700	0.000000	0.000000	0	66	0
138	26	2	1	0.000000	11.230769	9.461538	0.000000	0.000000	0	8	0
139	5	1	1	0.000000	9.600000	9.600000	0.000000	0.000000	0	4	0
140	26	1	2	0.000000	8.500000	8.500000	0.000000	0.000000	0	7	0
141	1401	2	2	0.000000	5.992862	4.944325	0.000000	0.000000	0	74	0
142	1	2	1	0.000000	9.000000	8.000000	0.000000	0.000000	0	7	0
143	13	2	1	0.000000	8.461538	7.461538	0.000000	0.000000	0	7	0
144	5	1	1	0.000000	8.400000	8.400000	0.000000	0.000000	0	6	0
145	1	1	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	8	0
146	1	2	4	0.000000	54.000000	54.000000	0.000000	0.000000	0	24	0
147	1	1	4	0.000000	80.000000	80.000000	0.000000	0.000000	0	35	0
148	1	2	3	0.000000	98.000000	98.000000	0.000000	0.000000	0	41	0
149	1	2	4	0.000000	116.000000	116.000000	0.000000	0.000000	0	48	0
150	1	2	3	0.000000	200.000000	200.000000	0.000000	0.000000	0	86	0
151	1	1	2	0.000000	201.000000	201.000000	0.000000	0.000000	0	87	0
152	1	1	2	0.000000	203.000000	201.000000	0.000000	0.000000	0	86	0
153	1	2	2	0.000000	206.000000	203.000000	0.000000	0.000000	0	90	0
154	1	2	3	0.000000	212.000000	208.000000	0.000000	0.000000	0	93	0
155	1	2	3	0.000000	25.000000	25.000000	0.000000	0.000000	0	16	0
156	1	1	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	11	0
157	1	3	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	14	0
158	6	2	1	0.000000	12.666667	11.666667	0.000000	0.000000	0	9	0
159	5	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	6	0
160	26	1	2	0.000000	5.692308	5.153846	0.000000	0.000000	0	6	0
161	1960	2	0	0.000000	5.942347	4.907143	0.000000	0.000000	0	100	0
162	885	2	2	0.000000	5.448588	4.764972	0.000000	0.000000	0	47	0
163	31	0	0	0.000000	5.806452	5.806452	0.000000	0.000000	0	3	0
164	503	2	2	0.000000	4.351889	4.155070	0.000000	0.000000	0	22	0
165	89	0	1	0.000000	1.876404	1.876404	0.000000	0.000000	0	3	0
166	9	2	1	0.000000	9.333333	9.333333	0.000000	0.000000	0	3	0
167	2	2	1	0.000000	11.000000	11.000000	0.000000	0.000000	0	3	0
168	11	1	1	0.000000	8.454545	8.454545	0.000000	0.000000	0	2	0
169	9	1	2	0.000000	9.555556	9.555556	0.000000	0.000000	0	2	0
170	9	1	2	0.000000	9.777778	8.666667	0.000000	0.000000	0	3	0
171	2	1	2	0.000000	10.500000	9.000000	0.000000	0.000000	0	4	0
172	3584	0	2	0.000000	5.808873	5.005301	0.000000	0.000000	0	178	0
173	1196	2	2	0.000000	6.357860	5.293478	0.000000	0.000000	0	66	0
174	31	0	0	0.000000	9.225806	9.225806	0.000000	0.000000	0	5	0
175	5	2	1	0.000000	12.600000	12.600000	0.000000	0.000000	0	6	0
176	26	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	6	0
177	5	1	2	0.000000	8.800000	8.400000	0.000000	0.000000	0	4	0
178	12	1	2	0.000000	9.583333	8.583333	0.000000	0.000000	0	5	0
179	980	2	0	0.000000	5.146939	4.598980	0.000000	0.000000	0	49	0
180	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
181	38	2	2	0.000000	7.842105	7.842105	0.000000	0.000000	0	10	0
182	1310	2	2	0.000000	5.420611	4.718321	0.000000	0.000000	0	64	0
183	638	2	2	0.000000	4.746082	3.918495	0.000000	0.000000	0	27	0
184	31	1	1	0.000000	4.258065	4.258065	0.000000	0.000000	0	5	0
185	1018	2	2	0.000000	6.290766	5.265226	0.000000	0.000000	0	51	0
186	2418	2	2	0.000000	5.145575	4.303970	0.000000	0.000000	0	119	0
187	860	2	2	0.000000	6.259302	5.298837	0.000000	0.000000	0	46	0
188	1	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
189	35	1	1	0.000000	1.114286	1.114286	0.000000	0.000000	0	2	0
190	378	0	2	0.000000	4.843915	4.362434	0.000000	0.000000	0	22	0
191	1120	2	2	0.000000	5.996429	5.048214	0.000000	0.000000	0	61	0
192	2095	2	0	0.000000	5.973747	5.095465	0.000000	0.000000	0	117	0
193	32	1	1	0.000000	2.093750	2.093750	0.000000	0.000000	0	3	0
194	95	2	2	0.000000	2.947368	2.947368	0.000000	0.000000	0	6	0
195	22	2	1	0.000000	7.909091	7.909091	0.000000	0.000000	0	8	0
196	41	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
197	1875	2	2	0.000000	5.704000	4.803733	0.000000	0.000000	0	103	0
198	31	1	1	0.000000	7.645161	7.645161	0.000000	0.000000	0	7	0
199	37	2	2	0.000000	6.027027	6.027027	0.000000	0.000000	0	7	0
200	898	2	2	0.000000	5.636971	5.069042	0.000000	0.000000	0	47	0
201	8	1	1	0.000000	81.500000	52.125000	0.000000	0.000000	0	38	0
202	13	2	1	0.000000	7.615385	7.615385	0.000000	0.000000	0	6	0
203	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
204	145	2	0	0.000000	5.351724	5.351724	0.000000	0.000000	0	10	0
205	7	1	1	0.000000	6.428571	5.285714	0.000000	0.000000	0	3	0
206	2	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	6	0
207	1	2	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	5	0
208	13	1	2	0.000000	13.000000	10.692308	0.000000	0.000000	0	5	0
209	9	1	2	0.000000	8.111111	3.777778	0.000000	0.000000	0	4	0
210	1	1	2	0.000000	10.000000	3.000000	0.000000	0.000000	0	4	0
211	31	0	0	0.000000	1.870968	1.870968	0.000000	0.000000	0	2	0
212	2027	0	2	0.000000	6.198323	5.336951	0.000000	0.000000	0	105	0
213	719	2	2	0.000000	5.082058	4.447844	0.000000	0.000000	0	30	0
214	11	2	0	0.000000	9.818182	9.818182	0.000000	0.000000	0	6	0
215	6	2	1	0.000000	7.333333	7.333333	0.000000	0.000000	0	6	0
216	14	1	1	0.000000	6.071429	6.071429	0.000000	0.000000	0	5	0
217	11	1	2	0.000000	6.727273	4.909091	0.000000	0.000000	0	5	0
218	6	0	2	0.000000	7.833333	5.833333	0.000000	0.000000	0	3	0
219	987	2	2	0.000000	7.775076	6.474164	0.000000	0.000000	0	72	0
220	13	2	1	0.000000	9.538462	9.538462	0.000000	0.000000	0	5	0
221	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
222	16	1	2	0.000000	5.875000	5.875000	0.000000	0.000000	0	5	0
223	739	2	2	0.000000	10.253045	8.493911	0.000000	0.000000	0	68	0
224	6633	2	2	0.000000	6.392583	5.516358	0.000000	0.000000	0	363	0
225	51	2	2	0.000000	6.098039	6.098039	0.000000	0.000000	0	8	0
226	13	2	1	0.000000	10.076923	10.076923	0.000000	0.000000	0	8	0
227	11	2	1	0.000000	9.545455	9.545455	0.000000	0.000000	0	6	0
228	20	1	1	0.000000	8.800000	8.800000	0.000000	0.000000	0	4	0
229	18	1	1	0.000000	7.888889	7.000000	0.000000	0.000000	0	7	0
230	13	1	2	0.000000	8.307692	7.307692	0.000000	0.000000	0	6	0
231	72	2	2	0.000000	6.722222	6.694444	0.000000	0.000000	0	12	0
232	205	0	2	0.000000	3.892683	3.287805	0.000000	0.000000	0	8	0
233	438	2	2	0.000000	4.668950	4.340183	0.000000	0.000000	0	25	0
234	5684	0	2	0.000000	6.077058	5.218684	0.000000	0.000000	0	296	0
235	31	1	1	0.000000	5.967742	5.967742	0.000000	0.000000	0	2	0
236	131	2	2	0.000000	5.977099	5.977099	0.000000	0.000000	0	11	0
237	17	2	1	0.000000	7.705882	7.705882	0.000000	0.000000	0	5	0
238	15	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	5	0
239	16	1	2	0.000000	7.625000	7.625000	0.000000	0.000000	0	5	0
240	17	2	2	0.000000	6.705882	6.705882	0.000000	0.000000	0	6	0
241	31	1	1	0.000000	1.516129	1.516129	0.000000	0.000000	0	2	0
242	574	0	2	0.000000	4.639373	4.022648	0.000000	0.000000	0	26	0
243	1794	2	1	0.000000	6.175028	5.418618	0.000000	0.000000	0	95	0
244	1512	2	2	0.000000	6.195106	5.237434	0.000000	0.000000	0	82	0
245	1046	0	2	0.000000	6.301147	5.349904	0.000000	0.000000	0	60	0
246	1616	2	2	0.000000	5.655941	4.896658	0.000000	0.000000	0	85	0
247	1	2	0	0.000000	9.000000	9.000000	0.000000	0.000000	0	6	0
248	30	1	1	0.000000	5.300000	5.300000	0.000000	0.000000	0	6	0
249	32	1	1	0.000000	7.125000	3.656250	0.000000	0.000000	0	5	0
250	226	2	2	0.000000	6.022124	6.022124	0.000000	0.000000	0	16	0
251	1989	2	0	0.000000	5.843640	5.009553	0.000000	0.000000	0	103	0
252	2	2	1	0.000000	10.500000	10.500000	0.000000	0.000000	0	5	0
253	17	1	1	0.000000	4.117647	4.117647	0.000000	0.000000	0	3	0
254	63	1	2	0.000000	7.476190	6.984127	0.000000	0.000000	0	6	0
255	31	2	2	0.000000	9.258065	8.870968	0.000000	0.000000	0	7	0
256	31	1	1	0.000000	12.290323	11.677419	0.000000	0.000000	0	9	0
257	20	2	1	0.000000	11.700000	11.100000	0.000000	0.000000	0	6	0
258	11	1	1	0.000000	9.909091	9.909091	0.000000	0.000000	0	5	0
259	20	1	2	0.000000	6.800000	6.800000	0.000000	0.000000	0	5	0
260	487	2	2	0.000000	6.827515	5.681725	0.000000	0.000000	0	28	0
261	29	1	1	0.000000	2.896552	2.896552	0.000000	0.000000	0	2	0
262	746	2	0	0.000000	5.662198	4.868633	0.000000	0.000000	0	45	0
263	49	1	1	0.000000	10.816327	10.183673	0.000000	0.000000	0	7	0
264	16	2	1	0.000000	6.625000	6.625000	0.000000	0.000000	0	5	0
265	31	1	1	0.000000	5.645161	4.451613	0.000000	0.000000	0	6	0
266	2674	2	2	0.000000	6.412491	5.473448	0.000000	0.000000	0	142	0
267	31	1	1	0.000000	3.064516	3.064516	0.000000	0.000000	0	4	0
268	13	2	1	0.000000	9.000000	8.000000	0.000000	0.000000	0	9	0
269	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
270	215	0	2	0.000000	5.204651	4.218605	0.000000	0.000000	0	18	0
271	348	2	2	0.000000	5.465517	4.735632	0.000000	0.000000	0	23	0
272	17	2	1	0.000000	9.941176	9.000000	0.000000	0.000000	0	5	0
273	14	1	1	0.000000	7.285714	7.285714	0.000000	0.000000	0	4	0
274	17	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	4	0
275	228	2	0	0.000000	7.609649	6.706140	0.000000	0.000000	0	14	0
276	5	2	1	0.000000	12.000000	9.000000	0.000000	0.000000	0	4	0
277	26	1	1	0.000000	9.846154	9.384615	0.000000	0.000000	0	7	0
278	5	1	2	0.000000	9.400000	9.400000	0.000000	0.000000	0	5	0
279	67	2	2	0.000000	7.313433	7.313433	0.000000	0.000000	0	9	0
280	11	2	2	0.000000	17.272727	4.272727	0.000000	0.000000	0	12	0
281	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
282	15	1	2	0.000000	24.800000	21.333333	0.000000	0.000000	0	20	0
283	1	2	2	0.000000	27.000000	26.000000	0.000000	0.000000	0	14	0
284	7	2	1	0.000000	19.142857	18.142857	0.000000	0.000000	0	8	0
285	62	1	1	0.000000	3.838710	2.838710	0.000000	0.000000	0	4	0
286	10	1	1	0.000000	31.100000	26.900000	0.000000	0.000000	0	20	0
287	604	2	0	0.000000	5.069536	4.584437	0.000000	0.000000	0	29	0
288	31	1	1	0.000000	8.774194	8.774194	0.000000	0.000000	0	6	0
289	46	2	2	0.000000	3.434783	3.434783	0.000000	0.000000	0	6	0
290	201	2	2	0.000000	5.567164	5.104478	0.000000	0.000000	0	11	0
291	16	2	1	0.000000	9.750000	9.125000	0.000000	0.000000	0	6	0
292	15	1	1	0.000000	7.200000	7.200000	0.000000	0.000000	0	6	0
293	16	1	2	0.000000	9.812500	9.812500	0.000000	0.000000	0	8	0
294	1624	2	2	0.000000	5.636084	4.916256	0.000000	0.000000	0	81	0
295	547	2	1	0.000000	8.744059	7.404022	0.000000	0.000000	0	48	0
296	5	2	1	0.000000	13.000000	12.800000	0.000000	0.000000	0	7	0
297	26	1	1	0.000000	6.730769	6.730769	0.000000	0.000000	0	6	0
298	66	2	2	0.000000	12.621212	9.454545	0.000000	0.000000	0	13	0
299	482	2	2	0.000000	5.207469	4.296680	0.000000	0.000000	0	23	0
300	31	0	0	0.000000	7.548387	7.032258	0.000000	0.000000	0	7	0
301	101	2	0	0.000000	4.059406	3.752475	0.000000	0.000000	0	7	0
302	38	1	1	0.000000	6.921053	6.921053	0.000000	0.000000	0	5	0
303	1	1	3	0.000000	31.000000	25.000000	0.000000	0.000000	0	21	0
304	1	5	3	0.000000	85.000000	79.000000	0.000000	0.000000	0	42	0
305	1	2	3	0.000000	99.000000	99.000000	0.000000	0.000000	0	51	0
306	1	4	1	0.000000	98.000000	98.000000	0.000000	0.000000	0	52	0
307	1	3	2	0.000000	75.000000	75.000000	0.000000	0.000000	0	40	0
308	1	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	12	0
309	13	1	1	0.000000	6.230769	6.230769	0.000000	0.000000	0	6	0
310	6	1	2	0.000000	7.000000	7.000000	0.000000	0.000000	0	5	0
311	68	2	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	10	0
312	267	2	2	0.000000	4.842697	4.359551	0.000000	0.000000	0	15	0
313	31	1	1	0.000000	6.483871	6.483871	0.000000	0.000000	0	3	0
314	6	1	1	0.000000	8.500000	8.500000	0.000000	0.000000	0	6	0
315	1	1	3	0.000000	22.000000	22.000000	0.000000	0.000000	0	11	0
316	1	1	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	13	0
317	4	1	3	0.000000	37.250000	37.250000	0.000000	0.000000	0	23	0
318	248	2	2	0.000000	5.447581	4.479839	0.000000	0.000000	0	11	0
319	76	2	1	0.000000	7.618421	5.921053	0.000000	0.000000	0	11	0
320	240	2	2	0.000000	4.262500	4.020833	0.000000	0.000000	0	18	0
321	31	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
322	2	1	2	0.000000	6.500000	6.500000	0.000000	0.000000	0	5	0
323	6	0	2	0.000000	7.166667	7.166667	0.000000	0.000000	0	7	0
324	383	2	2	0.000000	5.963446	4.817232	0.000000	0.000000	0	27	0
325	31	1	1	0.000000	11.032258	11.032258	0.000000	0.000000	0	10	0
326	6	2	2	0.000000	11.500000	11.500000	0.000000	0.000000	0	7	0
327	4	2	1	0.000000	8.500000	8.500000	0.000000	0.000000	0	5	0
328	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
329	20	2	2	0.000000	9.350000	9.350000	0.000000	0.000000	0	7	0
330	31	1	1	0.000000	12.612903	12.612903	0.000000	0.000000	0	10	0
331	24	1	1	0.000000	71.125000	23.833333	0.000000	0.000000	0	50	0
332	7	1	2	0.000000	68.714286	49.428571	0.000000	0.000000	0	37	0
333	941	2	0	0.000000	6.049947	5.687566	0.000000	0.000000	0	57	0
334	30	2	1	0.000000	11.466667	10.633333	0.000000	0.000000	0	10	0
335	3433	2	2	0.000000	5.333236	4.496068	0.000000	0.000000	0	160	0
336	14	1	1	0.000000	4.571429	4.571429	0.000000	0.000000	0	4	0
337	653	2	2	0.000000	7.189893	6.441041	0.000000	0.000000	0	47	0
338	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
339	18	1	1	0.000000	7.611111	7.611111	0.000000	0.000000	0	7	0
340	16	1	2	0.000000	6.187500	6.062500	0.000000	0.000000	0	4	0
341	1364	0	1	0.000000	5.797654	5.085777	0.000000	0.000000	0	71	0
342	460	2	2	0.000000	6.554348	5.860870	0.000000	0.000000	0	30	0
343	990	2	0	0.000000	5.354545	4.586869	0.000000	0.000000	0	51	0
344	266	2	2	0.000000	5.308271	4.718045	0.000000	0.000000	0	13	0
345	31	1	1	0.000000	8.129032	7.258065	0.000000	0.000000	0	9	0
346	1	1	1	0.000000	19.000000	8.000000	0.000000	0.000000	0	7	0
347	4	2	2	0.000000	21.000000	18.250000	0.000000	0.000000	0	13	0
348	4	2	1	0.000000	20.500000	20.500000	0.000000	0.000000	0	12	0
349	16	2	1	0.000000	19.250000	19.250000	0.000000	0.000000	0	12	0
350	3	2	1	0.000000	17.333333	17.333333	0.000000	0.000000	0	11	0
351	1	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	8	0
352	2	2	2	0.000000	13.000000	13.000000	0.000000	0.000000	0	8	0
353	5	1	1	0.000000	6.200000	6.200000	0.000000	0.000000	0	5	0
354	2335	2	0	0.000000	5.168308	4.550321	0.000000	0.000000	0	103	0
